id,title,url,tier,category,date_retrieved,status,notes
001,Smart India Hackathon 2026 — All 226 Problem Statements Master,https://www.blinknbuild.in/Assets/SIH_2026_All_226_Problem_Statements_Master_Catalogue.pdf,1,01_problem_statement,2026-09-07,kept,Defines the exact problem statement SIH26034: 'Software System to check compliance of Packaged Commodities under Legal M
001,"Legal Metrology Act, 2009 (Act No. 1 of 2010)",https://www.indiacode.nic.in/handle/123456789/2014,1,02_legal_framework,2026-09-07,kept,"The Legal Metrology Act, 2009 is the parent statute establishing uniform standards for weights, measures, weighing and m"
002,Smart India Hackathon SIH 2026 Problem Statements Repository,https://github.com/NoBugNinja/Smart-India-Hackathon-SIH-2026-Problem-Statements,3,01_problem_statement,2026-09-07,kept,"Provides structured markdown and categorization of SIH26034 within the Ministry of Consumer Affairs, Food & Public Distr"
002,"Legal Metrology (Packaged Commodities) Rules, 2011 (Consolidated Master)",https://consumeraffairs.gov.in/acts-and-rules/legal-metrology,1,02_legal_framework,2026-09-07,kept,"The Legal Metrology (Packaged Commodities) Rules, 2011 (LMPC Rules 2011) constitutes the primary regulatory code governi"
002a,LMPC Rule 6 — Mandatory Declarations Clause-by-Clause Specification,https://consumeraffairs.gov.in/acts-and-rules/legal-metrology,1,02_legal_framework,2026-09-07,kept,"This document breaks down every discrete sub-clause of Rule 6 of the LMPC Rules 2011 into its exact legal requirement, d"
002b,LMPC Rule 7 — Principal Display Panel (PDP) Formulas & Minimum Font Height Tables,https://consumeraffairs.gov.in/acts-and-rules/legal-metrology,1,02_legal_framework,2026-09-07,kept,Rule 7 establishes the exact geometric definitions for calculating the Principal Display Panel (PDP) area and dictates t
002c,LMPC Rule 26 — Complete Statutory Exemption Matrix,https://consumeraffairs.gov.in/acts-and-rules/legal-metrology,1,02_legal_framework,2026-09-07,kept,Rule 26 provides statutory exemptions from the packaging rules. Implementing these gates in the rule engine prevents fal
002d,"LMPC Rule 13 — Standard SI Metric Units, Permitted Symbols, and Prohibited Abbreviations",https://consumeraffairs.gov.in/acts-and-rules/legal-metrology,1,02_legal_framework,2026-09-07,kept,Rule 13 mandates that all net quantity statements strictly utilize the International System of Units (SI). Using non-sta
003,"Legal Metrology (Packaged Commodities) Amendment Rules, 2015 (G.S.R. 385(E))",https://egazette.gov.in/,1,02_legal_framework,2026-09-07,kept,"Notified via Gazette Notification G.S.R. 385(E) on May 14, 2015, this amendment enacted Rule 6(2), legally mandating com"
003a,"Legal Metrology (Packaged Commodities) Amendment Rules, 2017 (G.S.R. 629(E))",https://egazette.gov.in/,1,02_legal_framework,2026-09-07,kept,"Notified via G.S.R. 629(E) on June 23, 2017, coming into force on January 1, 2018, this was one of the most comprehensiv"
004,"Legal Metrology (Packaged Commodities) Amendment Rules, 2021 (G.S.R. 779(E))",https://egazette.gov.in/,1,02_legal_framework,2026-09-07,kept,"Notified via G.S.R. 779(E) on November 2, 2021, this amendment marked the transition to modern unit pricing, omitted the"
004,"US Patent 7,587,412 B2: Image Scaling and Calibration Using Reference Dimensions",https://patentimages.storage.googleapis.com/09/a2/33/6d784d4e1b9c03/US7587412.pdf,2,10_patents_prior_art,2026-09-07,kept,Establishes standard methods for utilizing planar reference objects to calibrate perspective distortion and deduce absol
005,"Rule 6: Package Labeling Requirements under Legal Metrology (Packaged Commodities) Rules, 2011",https://www.scribd.com/document/811286930/Metrology-Rule-6-26-of-Packaged-Commodities-Rules-2011,1,02_legal_framework/act_and_rules,2026-09-07,kept,Comprehensive legal text detailing the 8 mandatory declarations of Rule 6 and the specific phrasing rules for MRP and co
005,"Legal Metrology (Packaged Commodities) Amendment Rules, 2022 (G.S.R. 226(E) & 577(E))",https://egazette.gov.in/,1,02_legal_framework,2026-09-07,kept,"Notified via G.S.R. 226(E) (March 28, 2022) and G.S.R. 577(E) (July 14, 2022), these amendments formalized the definitiv"
